cid,alpha_id,status,source,S,F,T,R,DD,trainS,trainF,testS,testF,testDD,error,expr
p1_pw_mkt,qMWjZ3VZ,UNSUBMITTED,pwPlK163(4.42)换MARKET中性化,1.98,1.84,0.1238,0.1078,0.0617,1.93,1.82,2.36,2.03,0.0223,,"group_rank(-ts_mean(abs(returns)/volume, 20), subindustry) + group_rank(operating_expense/assets, subindustry) + rank(-ts_delta(close, 2))"
p2_pw_ind,akL73wMO,UNSUBMITTED,pwPlK163换INDUSTRY,2.3,2.07,0.1127,0.101,0.0378,2.24,2.04,2.64,2.27,0.0181,,"group_rank(-ts_mean(abs(returns)/volume, 20), subindustry) + group_rank(operating_expense/assets, subindustry) + rank(-ts_delta(close, 2))"
p3_pw_sec,npK701Q8,UNSUBMITTED,pwPlK163换SECTOR,2.12,1.92,0.1189,0.102,0.0477,2.07,1.89,2.51,2.17,0.0186,,"group_rank(-ts_mean(abs(returns)/volume, 20), subindustry) + group_rank(operating_expense/assets, subindustry) + rank(-ts_delta(close, 2))"
p4_np_mkt,Vk67nkXY,UNSUBMITTED,npK7xbrq(4.38)换MARKET,2.34,2.06,0.1356,0.1054,0.0547,2.28,2.01,2.67,2.36,0.0223,,"rank(-ts_delta(close, 2)) * rank(volume/ts_mean(volume, 60)) + group_rank(operating_expense/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 30), subindustry)"
p5_np_ind,gJQjvq2J,UNSUBMITTED,npK7xbrq换INDUSTRY,2.45,2.07,0.1318,0.094,0.0346,2.52,2.16,2.15,1.69,0.0284,,"rank(-ts_delta(close, 2)) * rank(volume/ts_mean(volume, 60)) + group_rank(operating_expense/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 30), subindustry)"
p6_xopr_cash_vol,ZY07Zw88,UNSUBMITTED,n07补测(429),1.85,1.52,0.1169,0.0848,0.0439,1.94,1.66,1.45,0.99,0.038,,"group_rank(fnd6_xopr/assets, subindustry) + group_rank(ts_delta(cash/assets, 60), subindustry) + rank(volume/ts_mean(volume, 60))"
p7_zs_xopr,MP17wpkr,UNSUBMITTED,n08补测(429),1.69,1.26,0.0901,0.0697,0.0529,1.76,1.36,1.38,0.88,0.0318,,"group_zscore(fnd6_xopr/assets, subindustry) + rank(-ts_delta(close, 2)) + rank(volume/ts_mean(volume, 60))"
p8_xsga,,SIM_FAIL,新锚探针xsga(SGA费用),,,,,,,,,,,"{""id"": ""1LaFse7wS4wabzc3rHOZsd3"", ""type"": ""REGULAR"", ""status"": ""ERROR"", ""message"": ""Attempted to use unknown variable \""xsga\"". <linkToCommonErrorMessages>Learn more</linkToCommonErrorMessages>"", ""location"": {""line"": 1, ""start"": 11, ""end"": 15, ""property"": ""regular""}, ""links"": {""linkToCommonErrorMess","group_rank(xsga/assets, subindustry) + rank(-ts_delta(close, 2)) + rank(volume/ts_mean(volume, 60))"
p9_invt,,SIM_FAIL,新锚探针invt(库存变化),,,,,,,,,,,"{""id"": ""4jPjp873S54naP4kTeGdsRO"", ""type"": ""REGULAR"", ""status"": ""ERROR"", ""message"": ""Attempted to use unknown variable \""invt\"". <linkToCommonErrorMessages>Learn more</linkToCommonErrorMessages>"", ""location"": {""line"": 1, ""start"": 21, ""end"": 25, ""property"": ""regular""}, ""links"": {""linkToCommonErrorMess","group_rank(-ts_delta(invt/assets, 60), subindustry) + rank(-ts_delta(close, 2))"
p10_tw02_xopr,LL97eZ6m,UNSUBMITTED,n04(3.89)调阈值0.2,2.29,1.73,0.1631,0.0929,0.0419,2.29,1.75,2.29,1.64,0.0235,,"trade_when(ts_rank(volume, 60) > 0.2, group_rank(fnd6_xopr/assets, subindustry) + rank(-ts_delta(close, 2)), -1)"
