cid,alpha_id,status,source,S,F,T,R,DD,trainS,trainF,testS,testF,testDD,error,expr
l01_revt_amb60,Grdl1PeQ,UNSUBMITTED,k04换60d Amihud(拉开与zqYmRz0E的20d),2.13,1.9,0.1341,0.1066,0.0602,2.11,1.91,2.27,1.87,0.0309,,"group_rank(fnd6_mfma2_revt/assets, subindustry) + group_rank(-ts_mean(abs(returns)/volume, 60), subindustry) + rank(-ts_delta(close, 2))"
l02_revt_amb_rev3,xAYjOgRW,UNSUBMITTED,k04换3日反转,2.14,1.94,0.1322,0.1086,0.0619,2.2,2.06,1.89,1.45,0.0363,,"group_rank(fnd6_mfma2_revt/assets, subindustry) + group_rank(-ts_mean(abs(returns)/volume, 20), subindustry) + rank(-ts_delta(close, 3))"
l03_k02_cash,npK7xbrq,UNSUBMITTED,k02(3.66)加cash锚冲4.0,2.39,1.99,0.1271,0.0884,0.0342,2.49,2.12,2.0,1.52,0.0259,,"rank(-ts_delta(close, 2)) * rank(volume/ts_mean(volume, 60)) + group_rank(operating_expense/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 30), subindustry)"
l04_int_vwap_revt,0mRwOQR6,UNSUBMITTED,交互换vwap反转,1.66,1.37,0.1235,0.0856,0.0846,1.63,1.36,1.84,1.48,0.0344,,"rank(-ts_delta(vwap, 2)) * rank(volume/ts_mean(volume, 60)) + group_rank(fnd6_mfma2_revt/assets, subindustry)"
l05_cashmom_amb,883l5O8V,UNSUBMITTED,k09现金动量+Amihud(无反转),1.24,0.89,0.1048,0.0638,0.0565,1.34,1.0,0.86,0.51,0.031,,"group_rank(ts_delta(cash/assets, 60), subindustry) + group_rank(-ts_mean(abs(returns)/volume, 20), subindustry) + rank(volume/ts_mean(volume, 60))"
l06_revt_opex_vol,kqVjEjbk,UNSUBMITTED,k12(3.56)加放量冲4.0,1.43,0.94,0.0773,0.0542,0.0576,1.35,0.88,1.77,1.24,0.0332,,"group_rank(fnd6_mfma2_revt/assets, subindustry) + group_rank(operating_expense/assets, subindustry) + rank(volume/ts_mean(volume, 60))"
l07_int_amb,akL7jLNv,UNSUBMITTED,交互+Amihud第三信号,1.99,1.74,0.1239,0.0953,0.0418,2.13,1.94,1.39,0.97,0.0252,,"rank(-ts_delta(close, 2)) * rank(volume/ts_mean(volume, 60)) + group_rank(-ts_mean(abs(returns)/volume, 20), subindustry)"
l08_k04_ind,58QlnjpM,UNSUBMITTED,k04换INDUSTRY中性化(corr画像偏移),2.27,2.01,0.1485,0.1165,0.0608,2.31,2.11,2.14,1.64,0.0339,,"group_rank(fnd6_mfma2_revt/assets, subindustry) + group_rank(-ts_mean(abs(returns)/volume, 20), subindustry) + rank(-ts_delta(close, 2))"
l09_revt_amb_norev,N1Q7xd17,UNSUBMITTED,k04去反转换放量(低T),1.42,1.17,0.0903,0.0842,0.0801,1.48,1.26,1.15,0.77,0.0382,,"group_rank(fnd6_mfma2_revt/assets, subindustry) + group_rank(-ts_mean(abs(returns)/volume, 20), subindustry) + rank(volume/ts_mean(volume, 60))"
l10_int_rev5_xrent,qMWj93JV,UNSUBMITTED,交互5d均收益反转+xrent,2.16,1.89,0.1208,0.0955,0.0413,2.48,2.34,0.79,0.4,0.0372,,"rank(-ts_mean(returns, 5)) * rank(volume/ts_mean(volume, 60)) + group_rank(fnd6_xrent/assets, subindustry)"
