cid,alpha_id,status,source,S,F,T,R,DD,trainS,trainF,testS,testF,testDD,error,expr
d01_c03fix,9qVrgQ52,UNSUBMITTED,修复:sum无权限->ts_mean,1.68,0.85,0.3228,0.0828,0.0446,1.56,0.78,2.28,1.23,0.0259,,"-rank(ts_delta(close, 2)) * (1 - rank(ts_decay_linear(volume / ts_mean(volume, 30), 10)))"
d02_c09fix,9qVrggbo,UNSUBMITTED,修复:ts_stddev->ts_rank,0.26,0.09,0.166,0.0203,0.1401,0.24,0.08,0.39,0.14,0.0531,,"event = abs(ts_zscore(ts_delay(close, 1) - open, 20)) > 3.5;
alpha = ts_rank(ts_delta(close, 5), 252);
close_at_event = trade_when(event, close, -1);
end = abs(close_at_event - close) / close_at_event > 0.1;
ts_decay_linear(trade_when(event, alpha, end), 5)"
d03_c12fix,,SIM_FAIL,修复:net_income->cfo/assets,,,,,,,,,,,"{""id"": ""1pJr45cwO4RYbye14bVCT70n"", ""type"": ""REGULAR"", ""status"": ""ERROR"", ""message"": ""Attempted to use unknown variable \""cfo\"". <linkToCommonErrorMessages>Learn more</linkToCommonErrorMessages>"", ""location"": {""line"": 1, ""start"": 11, ""end"": 14, ""property"": ""regular""}, ""links"": {""linkToCommonErrorMess","group_rank(cfo / assets, subindustry)"
d04_c01_mkt,npK2wo8a,UNSUBMITTED,c01换MARKET中性化,1.84,0.85,0.9277,0.1995,0.109,1.67,0.76,3.02,1.49,0.0286,,"close > ts_sum(close, 20) / 20 ? 1.6 * rank(-ts_delta(close, 2)) : rank(-ts_delta(close, 2))"
d05_c01_str,xAYkXPxp,UNSUBMITTED,c01加强度1.6->2,1.9,0.63,1.0038,0.1102,0.0692,1.65,0.52,3.38,1.3,0.027,,"close > ts_sum(close, 20) / 20 ? 2 * rank(-ts_delta(close, 2)) : rank(-ts_delta(close, 2))"
d06_c01_dec3,6Xr9gemK,UNSUBMITTED,c01调decay3,1.95,0.81,0.7438,0.1292,0.0766,1.74,0.7,3.29,1.51,0.0273,,"close > ts_sum(close, 20) / 20 ? 1.6 * rank(-ts_delta(close, 2)) : rank(-ts_delta(close, 2))"
d07_c04_w20,QP3VmK0X,UNSUBMITTED,c04窗口60->20,1.7,0.85,0.5833,0.1448,0.0925,1.49,0.72,3.03,1.71,0.0298,,"rank(ts_delay(close, 2) - ts_regression(close, vwap, 20, rettype=3))"
d08_c02_mkt,e790eQMz,UNSUBMITTED,c02换MARKET+decay3,1.69,0.93,0.7028,0.215,0.0964,1.58,0.87,2.6,1.45,0.0329,,"volume > adv20 ? 2 * rank(-ts_delta(close, 2)) : rank(-ts_delta(close, 2))"
d09_rev_res,883QgEgz,UNSUBMITTED,组合:反转+回归残差,1.75,0.89,0.5831,0.1504,0.0933,1.54,0.76,3.11,1.77,0.0285,,"rank(-ts_delta(close, 2)) + rank(ts_delay(close, 2) - ts_regression(close, vwap, 60, rettype=3))"
d10_rev_vol,Vk6PKe6J,UNSUBMITTED,组合:反转×相对放量,1.95,0.95,0.6004,0.1417,0.0554,1.76,0.84,3.21,1.68,0.0209,,"group_rank(-ts_delta(close, 2) * rank(volume / ts_mean(volume, 20)), subindustry)"
d11_rev_cfo,,SIM_FAIL,组合:反转+现金流质量,,,,,,,,,,,"{""id"": ""3VD7UK24P4scaoH17rQ56Yjo"", ""type"": ""REGULAR"", ""status"": ""ERROR"", ""message"": ""Attempted to use unknown variable \""cfo\"". <linkToCommonErrorMessages>Learn more</linkToCommonErrorMessages>"", ""location"": {""line"": 1, ""start"": 39, ""end"": 42, ""property"": ""regular""}, ""links"": {""linkToCommonErrorMess","rank(-ts_delta(close, 2)) + group_rank(cfo / assets, subindustry)"
d12_grp_revres,wpYlXAGp,UNSUBMITTED,组内合成:反转+残差,1.75,0.81,0.5943,0.1278,0.0803,1.56,0.7,3.0,1.55,0.0272,,"group_rank(-ts_delta(close, 2) + ts_delay(close, 2) - ts_regression(close, vwap, 60, rettype=3), subindustry)"
