cid,alpha_id,status,source,S,F,T,R,DD,trainS,trainF,testS,testF,testDD,error,expr
k01_int_revt,rK5j1NX1,UNSUBMITTED,j09乘法交互换revt锚,1.65,1.36,0.1231,0.085,0.0858,1.63,1.36,1.73,1.36,0.0389,,"rank(-ts_delta(close, 2)) * rank(volume/ts_mean(volume, 60)) + group_rank(fnd6_mfma2_revt/assets, subindustry)"
k02_int_opex,om6q1ZVb,UNSUBMITTED,乘法交互换opex锚,2.08,1.58,0.1261,0.0732,0.0375,1.91,1.41,2.82,2.4,0.0271,,"rank(-ts_delta(close, 2)) * rank(volume/ts_mean(volume, 60)) + group_rank(operating_expense/assets, subindustry)"
k03_int_levg,wpYj8262,UNSUBMITTED,乘法交互+杠杆动量,1.36,0.77,0.1471,0.0477,0.0358,1.16,0.62,2.33,1.6,0.0118,,"rank(-ts_delta(close, 2)) * rank(volume/ts_mean(volume, 60)) + group_rank(ts_delta(liabilities_curr/assets, 60), subindustry)"
k04_revt_amb,YP57jVzo,UNSUBMITTED,revt+Amihud+反转,2.14,1.91,0.1363,0.109,0.0645,2.16,1.98,2.1,1.68,0.0334,,"group_rank(fnd6_mfma2_revt/assets, subindustry) + group_rank(-ts_mean(abs(returns)/volume, 20), subindustry) + rank(-ts_delta(close, 2))"
k05_revt_rev5,78Zj88LL,UNSUBMITTED,revt换5日反转,1.91,1.42,0.1835,0.1011,0.0777,1.92,1.45,1.93,1.31,0.0448,,"group_rank(fnd6_mfma2_revt/assets, subindustry) + rank(volume/ts_mean(volume, 60)) + rank(-ts_delta(close, 5))"
k06_revt120,LL97LWb6,UNSUBMITTED,revt长窗120d,1.45,0.81,0.2067,0.0646,0.0625,1.38,0.76,1.76,1.03,0.0273,,"group_rank(ts_rank(fnd6_mfma2_revt/assets, 120), subindustry) + rank(-ts_delta(close, 2)) + rank(volume/ts_mean(volume, 60))"
k07_int_rev5,LL97LxNM,UNSUBMITTED,交互换3d均收益反转,1.72,1.46,0.1194,0.0901,0.0555,1.8,1.58,1.4,1.03,0.0439,,"rank(-ts_mean(returns, 3)) * rank(volume/ts_mean(volume, 60)) + group_rank(fnd6_mfma2_revt/assets, subindustry)"
k08_revt_xrent_vol,9qVXqbk2,UNSUBMITTED,revt+xrent趋势+放量双锚无反转,1.35,0.97,0.0972,0.0648,0.0754,1.19,0.81,2.08,1.77,0.0203,,"group_rank(fnd6_mfma2_revt/assets, subindustry) + group_rank(ts_av_diff(fnd6_xrent, 30), subindustry) + rank(volume/ts_mean(volume, 60))"
k09_cashmom_vol,QP37Pl1X,UNSUBMITTED,j10现金动量加放量,2.04,1.32,0.2168,0.0901,0.0538,1.92,1.22,2.58,1.77,0.0242,,"group_rank(ts_delta(cash/assets, 60), subindustry) + rank(volume/ts_mean(volume, 60)) + rank(-ts_delta(close, 2))"
k10_amb_cash_vol,wpYjpeOl,UNSUBMITTED,Amihud+现金动量+放量(无反转),1.24,0.89,0.1048,0.0638,0.0565,1.34,1.0,0.86,0.51,0.031,,"group_rank(-ts_mean(abs(returns)/volume, 20), subindustry) + group_rank(ts_delta(cash/assets, 60), subindustry) + rank(volume/ts_mean(volume, 60))"
k11_levchg_vol,2rOlrwEb,UNSUBMITTED,杠杆动量+放量(无反转低T),0.8,0.37,0.1419,0.0296,0.0422,0.64,0.27,1.64,0.96,0.0131,,"group_rank(ts_delta(liabilities_curr/assets, 60), subindustry) + rank(volume/ts_mean(volume, 60))"
k12_revt_opex,MP17PGQ6,UNSUBMITTED,revt+opex双基本面锚,2.04,1.52,0.0977,0.0695,0.0471,1.92,1.4,2.59,2.08,0.0263,,"group_rank(fnd6_mfma2_revt/assets, subindustry) + group_rank(operating_expense/assets, subindustry) + rank(-ts_delta(close, 2))"
