cid,alpha_id,status,source,S,F,T,R,DD,trainS,trainF,testS,testF,testDD,error,expr
m01_52whigh,,SIM_FAIL,52周新高接近度(经典),,,,,,,,,,,"{""id"": ""3xXFHK9F354M8EzTMb8T1Q4"", ""type"": ""REGULAR"", ""status"": ""ERROR"", ""message"": ""Attempted to use inaccessible or unknown operator \""ts_max\"". <linkToCommonErrorMessages>Learn more</linkToCommonErrorMessages>"", ""location"": {""line"": 1, ""start"": 17, ""end"": 35, ""property"": ""regular""}, ""links"": {""lin","group_rank(close/ts_max(close, 250), subindustry) + rank(-ts_delta(close, 2)) + rank(volume/ts_mean(volume, 60))"
m02_mom250,e79zm9mz,UNSUBMITTED,12月动量+短反转,0.22,0.08,0.166,0.0209,0.1844,0.17,0.05,0.46,0.21,0.0739,,"group_rank(ts_delta(close, 250), subindustry) + rank(-ts_delta(close, 2))"
m03_amb_dollar,Jjx7qxgl,UNSUBMITTED,美元额Amihud(区别股数版),1.24,0.96,0.165,0.0994,0.1366,1.3,1.04,0.96,0.64,0.0614,,"group_rank(-ts_mean(abs(returns)/(close*volume), 20), subindustry) + rank(-ts_delta(close, 2))"
m04_tw_revt,om6q7oJE,UNSUBMITTED,trade_when结构(文档第三课),1.84,1.36,0.1622,0.0886,0.0624,1.84,1.38,1.88,1.3,0.0404,,"trade_when(ts_rank(volume, 60) > 0.3, group_rank(fnd6_mfma2_revt/assets, subindustry) + rank(-ts_delta(close, 2)), -1)"
m05_zs_revt,58Qlx2bn,UNSUBMITTED,group_zscore替group_rank,1.33,1.03,0.0883,0.0751,0.0951,1.31,1.02,1.43,1.09,0.0451,,"group_zscore(fnd6_mfma2_revt/assets, subindustry) + rank(-ts_delta(close, 2)) + rank(volume/ts_mean(volume, 60))"
m06_mom60_cash,pwPjm3AX,UNSUBMITTED,季度动量+现金动量,-0.11,-0.02,0.1485,-0.0076,0.2945,-0.16,-0.04,0.12,0.03,0.0713,,"group_rank(ts_delta(close, 60), subindustry) + group_rank(ts_delta(cash/assets, 60), subindustry) + rank(volume/ts_mean(volume, 60))"
m07_lowvol_revt,A10l9XYw,UNSUBMITTED,低波异象+revt锚,0.43,0.28,0.1386,0.0571,0.3699,0.47,0.32,0.25,0.12,0.1045,,"group_rank(-ts_mean(abs(returns), 20), subindustry) + group_rank(fnd6_mfma2_revt/assets, subindustry) + rank(-ts_delta(close, 2))"
m08_revt_yr,Jjx7wqom,UNSUBMITTED,revt年度分位,1.58,0.92,0.2028,0.0691,0.0691,1.53,0.89,1.76,1.06,0.0266,,"group_rank(ts_rank(fnd6_mfma2_revt/assets, 250), subindustry) + rank(-ts_delta(close, 2)) + rank(volume/ts_mean(volume, 60))"
m09_xopr_vol,883lo1m7,UNSUBMITTED,xopr作主锚+放量,2.5,1.84,0.196,0.1056,0.0474,2.49,1.85,2.56,1.8,0.0351,,"group_rank(fnd6_xopr/assets, subindustry) + rank(-ts_delta(close, 2)) + rank(volume/ts_mean(volume, 60))"
m10_delever,qMWj1qlv,UNSUBMITTED,去杠杆信号(债务下降),1.7,0.95,0.1909,0.0601,0.0306,1.64,0.92,2.06,1.14,0.0256,,"group_rank(-ts_delta(debt_st/assets, 60), subindustry) + rank(-ts_delta(close, 2))"
